epoch,timestamp,slashed_validators,slashing_penalty_eth,gross_loss_eth,cl_rewards_eth,mev_proxy_eth,participation_rate,stored_score,stored_risk,recomputed_score,recomputed_risk,score_drift,has_rewards_data
440764,2026-04-13 10:55,0,0.0,0.0,0.0,0.00561906,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440765,2026-04-13 11:00,0,0.0,0.0,0.0,0.004526897,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440766,2026-04-13 11:10,0,0.0,0.0,0.0,0.004894197,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440767,2026-04-13 11:15,0,0.0,0.0,0.0,0.009049049,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440768,2026-04-13 11:21,0,0.0,0.0,0.0,0.004945094,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440769,2026-04-13 11:30,0,0.0,0.0,0.0,0.001669291,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440770,2026-04-13 11:35,0,0.0,0.0,0.0,0.006088735,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440771,2026-04-13 11:40,0,0.0,0.0,0.0,0.005222474,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440772,2026-04-13 11:49,0,0.0,0.0,0.0,0.008165155,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440773,2026-04-13 11:54,0,0.0,0.0,0.0,0.005162192,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440774,2026-04-13 11:59,0,0.0,0.0,0.0,0.006584754,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440775,2026-04-13 12:05,0,0.0,0.0,0.0,0.018847071,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440776,2026-04-13 12:14,0,0.0,0.0,0.0,0.004037718,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440777,2026-04-13 12:20,0,0.0,0.0,0.0,0.00214926,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440778,2026-04-13 12:25,0,0.0,0.0,0.0,0.008732781,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440779,2026-04-13 12:34,0,0.0,0.0,0.0,0.002328248,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440780,2026-04-13 12:40,0,0.0,0.0,0.0,0.003439077,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440781,2026-04-13 12:45,0,0.0,0.0,0.0,0.002173377,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440782,2026-04-13 12:50,0,0.0,0.0,0.0,0.004345666,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440783,2026-04-13 13:00,0,0.0,0.0,0.0,0.005185087,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440784,2026-04-13 13:05,0,0.0,0.0,0.0,0.011196552,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440785,2026-04-13 13:10,0,0.0,0.0,0.0,0.011944821,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440786,2026-04-13 13:15,0,0.0,0.0,0.0,0.004566144,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440787,2026-04-13 13:25,0,0.0,0.0,0.0,0.005226307,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440788,2026-04-13 13:30,0,0.0,0.0,0.0,0.005156983,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440789,2026-04-13 13:35,0,0.0,0.0,0.0,0.0049231,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440790,2026-04-13 13:41,0,0.0,0.0,0.0,0.006521641,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440791,2026-04-13 13:50,0,0.0,0.0,0.0,0.006538198,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440792,2026-04-13 13:53,0,0.0,0.0,0.0,0.009000571,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440793,2026-04-13 13:59,0,0.0,0.0,0.0,0.006923548,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
440794,2026-04-13 14:07,0,0.0,0.0,0.0,0.003765248,0.9521,0.0000,HEALTHY,0.0000,HEALTHY,0.0000,False
